video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,pushblishDayName,durationSecs,tagsCount,likeRatio,commentRatio,titleLength
Us5PS0uJoLg,Rishabh Mishra,Tuple in Python with Examples | Python Tutorial in Hindi 17,"Tuple with Examples in Python - 17 

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Let's connect? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐ 
✅ 00:00  Tuple In Python
✅ 04:48  Tuple Indexing and Slicing 
✅ 15:46  Tuple Operations
✅ 16:47  Tuple Iteration - loops
✅ 23:21  Tuple Methods 
✅ 24:00  Tuple Functions
✅ 23:21  Tuple Methods 
✅ 29:56  Tuple Pack and Unpack 
✅ 33:43  Tuple Modify - Update

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀 



#tupleinpython #pythonprogramming #pythoninhindi","['python tutorial', 'python tutorial for beginners', 'python tutorial in hindi', 'python for beginners', 'python course', 'learn python', 'python programming', 'tuple in python', 'tuple in python with examples', 'tuple examples', 'tuple indexing', 'tuple slicing', 'tuple methods', 'tuple functions', 'tuple iterations', 'complete tuple in python', 'python full course playlist', 'python by rishabh mishra', 'python in hindi', 'python tutorial in hindi 17']",2024-10-13 13:30:07+00:00,1360.0,58.0,,30.0,PT39M31S,hd,true,Sunday,2371.0,20,42.64705882352941,22.058823529411764,59
8eyj6itxHGY,Rishabh Mishra,List in Python with Examples | Python Tutorial in Hindi 16,"List with Examples in Python - 16

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Let's connect? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐ 
✅ 00:00  List In Python
✅ 03:12  List Indexing and Slicing 
✅ 27:20  List Methods
✅ 45:22  List Comprehensions
✅ 1:00:28  List Iteration - loops 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀 



#listinpython #pythonprogramming #pythoninhindi","['python tutorial', 'python tutorial for beginners', 'python tutorial in hindi', 'python for beginners', 'python course', 'learn python', 'python programming', 'list in python', 'list in python with examples', 'list examples', 'list indexing', 'list slicing', 'list methods', 'list comprehensions', 'list iterations', 'complete list in python', 'python full course playlist', 'python by rishabh mishra', 'python in hindi', 'python tutorial in hindi 16']",2024-10-12 05:57:59+00:00,1369.0,64.0,,14.0,PT1H4M7S,hd,true,Saturday,3847.0,20,46.74945215485756,10.226442658875092,58
RfaZVNsUbx4,Rishabh Mishra,Loops Interview Questions - Assignment 5 | Star Pattern | Python Tutorial in Hindi,"⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐
✅ 00:00  Star Pattern in Loops 
✅ 23:21  Loops Interview Questions

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Topics covered in this video:
loops in python with examples 
for loop, while loop
nested loop
star pattern questions in python
Python interview questions
Python for beginners 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀",,2024-10-09 06:45:48+00:00,1338.0,64.0,,18.0,PT45M24S,hd,true,Wednesday,2724.0,0,47.832585949177876,13.45291479820628,82
2jNBPVMM1l8,Rishabh Mishra,Nested Loops with Examples in Python | Python Tutorial in Hindi 15,"nested loops with Examples in Python - 15

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐ 
✅ 00:00  nested loops 
✅ 02:08  nested loops examples
✅ 10:28  nested loops interview question 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀","['python tutorial', 'python tutorial for beginners', 'python tutorial in hindi', 'python for beginners', 'python course', 'learn python', 'python programming', 'nested loops in python', 'nested loops in python with examples', 'python full course playlist', 'python by rishabh mishra', 'python in hindi', 'python tutorial in hindi 15']",2024-10-05 02:38:33+00:00,1246.0,53.0,,10.0,PT17M59S,hd,true,Saturday,1079.0,13,42.53611556982344,8.025682182985554,66
sNWLf6u6KL0,Rishabh Mishra,Loops in Python - while & for Loops | Loop Control Statements | Python Tutorial in Hindi 14,"while and for Loops in Python & Loop Control Statements - 14 

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐ 
✅ 00:00  while loops 
✅ 14:02  for loops 
✅ 24:12  loop control statements 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀 



#loopsinpython  #pythonforbeginners  #pythoninhindi","['python tutorial', 'python tutorial for beginners', 'python tutorial in hindi', 'python for beginners', 'python course', 'learn python', 'python programming', 'loops in python', 'loops in python with examples', 'python loops', 'while loops', 'while loops examples', 'for loops', 'for loops examples', 'loop control statements in python', 'while vs for loop in python', 'python full course playlist', 'python by rishabh mishra', 'python in hindi', 'python tutorial in hindi 14']",2024-10-03 07:25:41+00:00,1913.0,86.0,,23.0,PT40M59S,hd,true,Thursday,2459.0,20,44.95556717198118,12.023000522739153,91
xfcOb1CGG8A,Rishabh Mishra,Assignment 4 - Strings | Python Tutorial in Hindi,"⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Topics covered in this video:
strings in python
formatted strings
string slicing 
Python interview questions
Python for beginners 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀",,2024-09-28 04:51:13+00:00,1449.0,70.0,,18.0,PT18M52S,hd,true,Saturday,1132.0,0,48.309178743961354,12.422360248447204,49
sw3ALlNMz4A,Rishabh Mishra,"Strings Indexing, Slicing and Methods | Python Tutorial in Hindi 13","Strings Indexing, Slicing and Methods in Python - 13

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐
✅ 00:00  Strings Indexing
✅ 12:25  String Slicing
✅ 30:06  String Methods

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀 



#stringsinpython #pythonforbeginners #pythoninhindi","['python tutorial', 'python tutorial for beginners', 'python tutorial in hindi', 'python for beginners', 'python course', 'learn python', 'python programming', 'strings in python', 'string indexing', 'string slicing', 'string methods', 'python full course playlist', 'python by rishabh mishra', 'python in hindi', 'python tutorial in hindi 13']",2024-09-22 15:02:02+00:00,2065.0,83.0,,17.0,PT41M7S,hd,true,Sunday,2467.0,15,40.19370460048426,8.232445520581114,67
BUr371h05tQ,Rishabh Mishra,Strings with Examples | String Format & String Operators | Python Tutorial in Hindi 12,"Strings in Python - 12 

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐
✅ 00:00  Strings in Python
✅ 01:25  Formatted Strings
✅ 02:15  Old Style Formatting 
✅ 17:10  f-strings
✅ 20:31  Escape characters
✅ 24:45  String Operators

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Topics covered in this video:
Strings in Python
Formatted Strings in Python
f-strings
Escape Characters
String Operators 
Python for beginners 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀","['python tutorial', 'python tutorial for beginners', 'python tutorial in hindi', 'python for beginners', 'python course', 'learn python', 'python programming', 'strings in python', 'strings with examples', 'how to use strings in python', 'string format in python', 'formatted strings in python', 'f-string in python', 'escape characters in python', 'string operators', 'python full course playlist', 'python by rishabh mishra', 'python in hindi', 'python tutorial in hindi 12']",2024-09-21 11:01:06+00:00,1775.0,79.0,,24.0,PT31M6S,hd,true,Saturday,1866.0,19,44.50704225352113,13.521126760563382,86
AuFbqBLx1jI,Rishabh Mishra,Function Arguments | Python Tutorial in Hindi 11,"Function Arguments in Python - 11

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐
✅ 00:00  Function Arguments
✅ 02:01  Types of Function Arguments
✅ 02:24  Required Arguments
✅ 07:11  Default Arguments 
✅ 10:30  Keyword Arguments 
✅ 14:57  Arbitrary Arguments 

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Topics covered in this video:
Function Arguments in Python
Arguments in Python
Types of Function Arguments 
Python for beginners 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀



#functionsinpython #pythontutorial #pythoninhindi","['python tutorial', 'python tutorial for beginners', 'python tutorial in hindi', 'python for beginners', 'python course', 'learn python', 'python programming', 'function arguments in python', 'arguments in python', 'types of function arguments in python', 'required argument', 'default argument', 'keyword argument', 'arbitrary argument', 'variable length argument', 'args argument', 'kwargs argument', 'python full course playlist', 'python by rishabh mishra', 'python in hindi', 'python tutorial in hindi 11']",2024-09-19 11:35:29+00:00,2148.0,102.0,,22.0,PT32M15S,hd,true,Thursday,1935.0,21,47.48603351955307,10.242085661080074,48
IAga7sR2oUA,Rishabh Mishra,Project 1 - Build a Calculator from Scratch in Python | Python Tutorial in Hindi,"Calculator in Python Project - 1 

⭐Python Tutorial Playlist: https://www.youtube.com/playlist?list=PLdOKnrf8EcP384Ilxra4UlK9BDJGwawg9  

⭐Download Notes & Source Code: https://drive.google.com/drive/folders/1FaOTxdEBav302XTvs5g1deQLJqM6oHDU?usp=sharing 

📢GitHub link: https://github.com/rishabhnmishra/python_tutorial_notes 

➖➖➖➖➖➖➖➖➖➖➖➖➖
❤️Do Like, Share and Comment ❤️
⭐SUBSCRIBE Now!: https://bit.ly/3Fc7Gc6 

➖➖➖➖➖➖➖➖➖➖➖➖➖
📣Want to connect with me? Check out these links:📣

👉Instagram: https://www.instagram.com/rishabhnmishra/
👉LinkedIn: https://www.linkedin.com/in/rishabhnmishra/
👉GitHub: https://github.com/rishabhnmishra 
👉Twitter: https://twitter.com/rishabhnmishra  

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Content⭐
✅ 00:00  Intro
✅ 02:18  Calculator in python

➖➖➖➖➖➖➖➖➖➖➖➖➖
⭐Topics covered in this video:
Calculator in python
Python project
Python for beginners 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Related videos:

⭐Introduction to Python Programming | Python Tutorial in Hindi 1:
https://www.youtube.com/watch?v=8JzOl9MLp4s 

📢Python Project for Data Analysis:
https://www.youtube.com/watch?v=KgCgpCIOkIs 

📢Full SQL Tutorial in One Video: 
https://www.youtube.com/watch?v=On9eSN3F8w0 

📢Full Excel Tutorial in one Video: 
https://www.youtube.com/watch?v=OX-iyb-21tk

📢Full Power Bi + Tutorial in one Video: 
https://www.youtube.com/watch?v=6cV3OwFrOkk 

🔖Complete Data Analyst Roadmap: 
https://www.youtube.com/watch?v=TiWGpLmYJD4 

➖➖➖➖➖➖➖➖➖➖➖➖➖
Hope you liked this video and learned something new :)
See you in next video, until then Bye-Bye! :)

Keep learning n Keep Growing 🚀



#pythonprojects #pythontutorial  #pythoninhindi","['python tutorial for beginners', 'python in hindi', 'python mini projects', 'calculator in python', 'rishabh mishra python']",2024-09-07 04:30:15+00:00,4295.0,201.0,,71.0,PT22M11S,hd,true,Saturday,1331.0,5,46.79860302677532,16.530849825378347,80
